nom_commune,code_postal,ville_cp
L ABERGEMENT CLEMENCIAT,01400,L ABERGEMENT CLEMENCIAT (01400)
L ABERGEMENT DE VAREY,01640,L ABERGEMENT DE VAREY (01640)
AMBERIEU EN BUGEY,01500,AMBERIEU EN BUGEY (01500)
AMBERIEUX EN DOMBES,01330,AMBERIEUX EN DOMBES (01330)
AMBLEON,01300,AMBLEON (01300)
AMBRONAY,01500,AMBRONAY (01500)
AMBUTRIX,01500,AMBUTRIX (01500)
ANDERT ET CONDON,01300,ANDERT ET CONDON (01300)
ANGLEFORT,01350,ANGLEFORT (01350)
APREMONT,01100,APREMONT (01100)
ARANC,01110,ARANC (01110)
ARANDAS,01230,ARANDAS (01230)
ARBENT,01100,ARBENT (01100)
ARBOYS EN BUGEY,01300,ARBOYS EN BUGEY (01300)
ARBIGNY,01190,ARBIGNY (01190)
ARGIS,01230,ARGIS (01230)
ARMIX,01510,ARMIX (01510)
ARS SUR FORMANS,01480,ARS SUR FORMANS (01480)
ARTEMARE,01510,ARTEMARE (01510)
ASNIERES SUR SAONE,01570,ASNIERES SUR SAONE (01570)
ATTIGNAT,01340,ATTIGNAT (01340)
BAGE DOMMARTIN,01380,BAGE DOMMARTIN (01380)
BAGE LE CHATEL,01380,BAGE LE CHATEL (01380)
BALAN,01360,BALAN (01360)
BANEINS,01990,BANEINS (01990)
BEAUPONT,01270,BEAUPONT (01270)
BEAUREGARD,01480,BEAUREGARD (01480)
BELLIGNAT,01100,BELLIGNAT (01100)
BELIGNEUX,01360,BELIGNEUX (01360)
VALSERHONE,01200,VALSERHONE (01200)
BELLEY,01300,BELLEY (01300)
BELLEYDOUX,01130,BELLEYDOUX (01130)
VALROMEY SUR SERAN,01260,VALROMEY SUR SERAN (01260)
BENONCES,01470,BENONCES (01470)
BENY,01370,BENY (01370)
BEREZIAT,01340,BEREZIAT (01340)
BETTANT,01500,BETTANT (01500)
BEY,01290,BEY (01290)
BEYNOST,01700,BEYNOST (01700)
BILLIAT,01200,BILLIAT (01200)
BIRIEUX,01330,BIRIEUX (01330)
BIZIAT,01290,BIZIAT (01290)
BLYES,01150,BLYES (01150)
LA BOISSE,01120,LA BOISSE (01120)
BOISSEY,01190,BOISSEY (01190)
BOISSEY,01380,BOISSEY (01380)
BOLOZON,01450,BOLOZON (01450)
BOULIGNEUX,01330,BOULIGNEUX (01330)
BOURG EN BRESSE,01000,BOURG EN BRESSE (01000)
BOURG ST CHRISTOPHE,01800,BOURG ST CHRISTOPHE (01800)
BOYEUX ST JEROME,01640,BOYEUX ST JEROME (01640)
BOZ,01190,BOZ (01190)
BREGNIER CORDON,01300,BREGNIER CORDON (01300)
BRENOD,01110,BRENOD (01110)
BRENS,01300,BRENS (01300)
BRESSOLLES,01360,BRESSOLLES (01360)
BRION,01460,BRION (01460)
BRIORD,01470,BRIORD (01470)
BUELLAS,01310,BUELLAS (01310)
LA BURBANCHE,01510,LA BURBANCHE (01510)
CEIGNES,01430,CEIGNES (01430)
CERDON,01450,CERDON (01450)
CERTINES,01240,CERTINES (01240)
CESSY,01170,CESSY (01170)
CEYZERIAT,01250,CEYZERIAT (01250)
CEYZERIEU,01350,CEYZERIEU (01350)
CHALAMONT,01320,CHALAMONT (01320)
CHALEINS,01480,CHALEINS (01480)
CHALEY,01230,CHALEY (01230)
CHALLES LA MONTAGNE,01450,CHALLES LA MONTAGNE (01450)
CHALLEX,01630,CHALLEX (01630)
CHAMPAGNE EN VALROMEY,01260,CHAMPAGNE EN VALROMEY (01260)
CHAMPDOR CORCELLES,01110,CHAMPDOR CORCELLES (01110)
CHAMPFROMIER,01410,CHAMPFROMIER (01410)
CHANAY,01420,CHANAY (01420)
CHANEINS,01990,CHANEINS (01990)
CHANOZ CHATENAY,01400,CHANOZ CHATENAY (01400)
LA CHAPELLE DU CHATELARD,01240,LA CHAPELLE DU CHATELARD (01240)
CHARIX,01130,CHARIX (01130)
CHARNOZ SUR AIN,01800,CHARNOZ SUR AIN (01800)
CHATEAU GAILLARD,01500,CHATEAU GAILLARD (01500)
CHATENAY,01320,CHATENAY (01320)
CHATILLON LA PALUD,01320,CHATILLON LA PALUD (01320)
CHATILLON SUR CHALARONNE,01400,CHATILLON SUR CHALARONNE (01400)
CHAVANNES SUR REYSSOUZE,01190,CHAVANNES SUR REYSSOUZE (01190)
NIVIGNE ET SURAN,01250,NIVIGNE ET SURAN (01250)
CHAVEYRIAT,01660,CHAVEYRIAT (01660)
CHAZEY BONS,01300,CHAZEY BONS (01300)
CHAZEY BONS,01510,CHAZEY BONS (01510)
CHAZEY SUR AIN,01150,CHAZEY SUR AIN (01150)
CHEIGNIEU LA BALME,01510,CHEIGNIEU LA BALME (01510)
CHEVILLARD,01430,CHEVILLARD (01430)
CHEVROUX,01190,CHEVROUX (01190)
CHEVRY,01170,CHEVRY (01170)
CHEZERY FORENS,01200,CHEZERY FORENS (01200)
CHEZERY FORENS,01410,CHEZERY FORENS (01410)
CIVRIEUX,01390,CIVRIEUX (01390)
CIZE,01250,CIZE (01250)
CLEYZIEU,01230,CLEYZIEU (01230)
COLIGNY,01270,COLIGNY (01270)
COLLONGES,01550,COLLONGES (01550)
COLOMIEU,01300,COLOMIEU (01300)
CONAND,01230,CONAND (01230)
CONDAMINE,01430,CONDAMINE (01430)
CONDEISSIAT,01400,CONDEISSIAT (01400)
CONFORT,01200,CONFORT (01200)
CONFRANCON,01310,CONFRANCON (01310)
CONTREVOZ,01300,CONTREVOZ (01300)
CONZIEU,01300,CONZIEU (01300)
CORBONOD,01420,CORBONOD (01420)
CORLIER,01110,CORLIER (01110)
CORMORANCHE SUR SAONE,01290,CORMORANCHE SUR SAONE (01290)
CORMOZ,01560,CORMOZ (01560)
CORVEISSIAT,01250,CORVEISSIAT (01250)
COURMANGOUX,01370,COURMANGOUX (01370)
COURTES,01560,COURTES (01560)
CRANS,01320,CRANS (01320)
BRESSE VALLONS,01340,BRESSE VALLONS (01340)
CRESSIN ROCHEFORT,01350,CRESSIN ROCHEFORT (01350)
CROTTET,01290,CROTTET (01290)
CROTTET,01750,CROTTET (01750)
CROZET,01170,CROZET (01170)
CRUZILLES LES MEPILLAT,01290,CRUZILLES LES MEPILLAT (01290)
CULOZ BEON,01350,CULOZ BEON (01350)
CURCIAT DONGALON,01560,CURCIAT DONGALON (01560)
CURTAFOND,01310,CURTAFOND (01310)
CUZIEU,01300,CUZIEU (01300)
DAGNEUX,01120,DAGNEUX (01120)
DIVONNE LES BAINS,01220,DIVONNE LES BAINS (01220)
DOMPIERRE SUR VEYLE,01240,DOMPIERRE SUR VEYLE (01240)
DOMPIERRE SUR CHALARONNE,01400,DOMPIERRE SUR CHALARONNE (01400)
DOMSURE,01270,DOMSURE (01270)
DORTAN,01590,DORTAN (01590)
DOUVRES,01500,DOUVRES (01500)
DROM,01250,DROM (01250)
DRUILLAT,01160,DRUILLAT (01160)
ECHALLON,01130,ECHALLON (01130)
ECHENEVEX,01170,ECHENEVEX (01170)
EVOSGES,01230,EVOSGES (01230)
FARAMANS,01800,FARAMANS (01800)
FAREINS,01480,FAREINS (01480)
FARGES,01550,FARGES (01550)
FEILLENS,01570,FEILLENS (01570)
FERNEY VOLTAIRE,01210,FERNEY VOLTAIRE (01210)
FLAXIEU,01350,FLAXIEU (01350)
FOISSIAT,01340,FOISSIAT (01340)
FRANCHELEINS,01090,FRANCHELEINS (01090)
FRANS,01480,FRANS (01480)
GARNERANS,01140,GARNERANS (01140)
GENOUILLEUX,01090,GENOUILLEUX (01090)
BEARD GEOVREISSIAT,01460,BEARD GEOVREISSIAT (01460)
GEOVREISSET,01100,GEOVREISSET (01100)
GEX,01170,GEX (01170)
GIRON,01130,GIRON (01130)
GORREVOD,01190,GORREVOD (01190)
GRAND CORENT,01250,GRAND CORENT (01250)
GRIEGES,01290,GRIEGES (01290)
GRILLY,01220,GRILLY (01220)
GROISSIAT,01100,GROISSIAT (01100)
GUEREINS,01090,GUEREINS (01090)
HAUTECOURT ROMANECHE,01250,HAUTECOURT ROMANECHE (01250)
PLATEAU D HAUTEVILLE,01110,PLATEAU D HAUTEVILLE (01110)
HAUT VALROMEY,01260,HAUT VALROMEY (01260)
ILLIAT,01140,ILLIAT (01140)
INJOUX GENISSIAT,01200,INJOUX GENISSIAT (01200)
INNIMOND,01680,INNIMOND (01680)
IZENAVE,01430,IZENAVE (01430)
IZERNORE,01580,IZERNORE (01580)
IZIEU,01300,IZIEU (01300)
JASSANS RIOTTIER,01480,JASSANS RIOTTIER (01480)
JASSERON,01250,JASSERON (01250)
JAYAT,01340,JAYAT (01340)
JOURNANS,01250,JOURNANS (01250)
JOYEUX,01800,JOYEUX (01800)
JUJURIEUX,01640,JUJURIEUX (01640)
LABALME,01450,LABALME (01450)
LAGNIEU,01150,LAGNIEU (01150)
LAIZ,01290,LAIZ (01290)
LE POIZAT LALLEYRIAT,01130,LE POIZAT LALLEYRIAT (01130)
LANTENAY,01430,LANTENAY (01430)
LAPEYROUSE,01330,LAPEYROUSE (01330)
LAVOURS,01350,LAVOURS (01350)
LEAZ,01200,LEAZ (01200)
LELEX,01410,LELEX (01410)
LENT,01240,LENT (01240)
LESCHEROUX,01560,LESCHEROUX (01560)
LEYMENT,01150,LEYMENT (01150)
LEYSSARD,01450,LEYSSARD (01450)
SURJOUX LHOPITAL,01420,SURJOUX LHOPITAL (01420)
LHUIS,01680,LHUIS (01680)
LOMPNAS,01680,LOMPNAS (01680)
LOYETTES,01360,LOYETTES (01360)
LURCY,01090,LURCY (01090)
MAGNIEU,01300,MAGNIEU (01300)
MAILLAT,01430,MAILLAT (01430)
MALAFRETAZ,01340,MALAFRETAZ (01340)
MANTENAY MONTLIN,01560,MANTENAY MONTLIN (01560)
MANZIAT,01570,MANZIAT (01570)
MARBOZ,01851,MARBOZ (01851)
MARCHAMP,01680,MARCHAMP (01680)
MARIGNIEU,01300,MARIGNIEU (01300)
MARLIEUX,01240,MARLIEUX (01240)
MARSONNAS,01340,MARSONNAS (01340)
MARTIGNAT,01100,MARTIGNAT (01100)
MASSIEUX,01600,MASSIEUX (01600)
MASSIGNIEU DE RIVES,01300,MASSIGNIEU DE RIVES (01300)
MATAFELON GRANGES,01580,MATAFELON GRANGES (01580)
MEILLONNAS,01370,MEILLONNAS (01370)
MERIGNAT,01450,MERIGNAT (01450)
MESSIMY SUR SAONE,01480,MESSIMY SUR SAONE (01480)
MEXIMIEUX,01800,MEXIMIEUX (01800)
BOHAS MEYRIAT RIGNAT,01250,BOHAS MEYRIAT RIGNAT (01250)
MEZERIAT,01660,MEZERIAT (01660)
MIJOUX,01170,MIJOUX (01170)
MIJOUX,01410,MIJOUX (01410)
MIONNAY,01390,MIONNAY (01390)
MIRIBEL,01700,MIRIBEL (01700)
MISERIEUX,01600,MISERIEUX (01600)
MOGNENEINS,01140,MOGNENEINS (01140)
MONTAGNAT,01250,MONTAGNAT (01250)
MONTAGNIEU,01470,MONTAGNIEU (01470)
MONTANGES,01200,MONTANGES (01200)
MONTCEAUX,01090,MONTCEAUX (01090)
MONTCET,01310,MONTCET (01310)
LE MONTELLIER,01800,LE MONTELLIER (01800)
MONTHIEUX,01390,MONTHIEUX (01390)
MONTLUEL,01120,MONTLUEL (01120)
MONTMERLE SUR SAONE,01090,MONTMERLE SUR SAONE (01090)
MONTRACOL,01310,MONTRACOL (01310)
MONTREAL LA CLUSE,01460,MONTREAL LA CLUSE (01460)
